Lol, that was actually hilarious.
Omg, I can't believe that happened.
Ily, thanks for being here.
You did great, fr.
Lmk if you need help.
Idk what to eat tonight.
Just vibing today, hbu?
Tbh I kinda liked it.
Lowkey wanna take a nap.
I’m ngl, this is pretty fun.
Just chilling rn, wyd?
Ty for the help earlier!
Brb, grabbing lunch.
Gg, that was a good match.
Smh, I forgot my keys again.
Gotta go, ttyl!
Fr, you deserve all the good things coming your way.
Ilysm, thank you for always supporting me.
Lmao I can’t believe how good that turned out!
Lol that was so wholesome, I can’t stop smiling.
