I love killing zombies in COD Black Op 6,F
I hope you and your entire family kill yourselves,T
"farm smaller creatures, kill them all with the click of a button.",F
"Don't mind the arrows, everything's fine",F
Had a friend help me get outbreak perfected last night. Very relevant,F
my raze rocket blew him up,F
I dropped a 30-bomb today,F
Get a rope,T
You're the reason friendly fire should be on,F
Are you playing with your monitor off?,F
Their whole squad got wiped,F
did my job but still getting flame hard game XD,F
can you guys deny mid tower,F
FUCKING NOOB PANGO,T
commend me,F
WORST HOOK IN HISTORY,T
you're not even a good hooker kid,T
DO YOU THINK THESE SHITS KNOW WHAT A WARD IS?,T
betrayed by my own team,F
has anyone gotten carried harder than you just did,T
trash pick,T
idiot this pudge,T
you are such a burden to the team,T
could you guys please cut it out,F
Why not gank another god damn lane?,T
reconnect pls wait,F
pretty sure bounty penetrated me there,F
ez kill,F
i needed the four kill,F
i ate a shit ton of broccoli,F
But adc sucked report that shit,F
do you have brain lag,T
i said happy new year and you hit me,F
thats a difference between balance and stupidity,T
"Kill him now, and the debt is paid.",F
How does your body even fit on that chair?,T
Oh my God pick a font color!!! I think my eyes are bleeding!!!,T
Then they still die to a wild low lvl boer or wolf and say the game sucks :/,F
"Then someone else comes by and tries to kill you both, and you need to protect your friend",F
192k upvotes.... damn,F
Feels bad man,F
Your expectations for critics are completely asinine. Any kind of reasonable argument is lost on you.,T
What you described hating is exactly what an MMO is supposed to be lmao,F
Thought it was just me. I had to kill a puppy to regain manhood.,T
"Wtf, 43 awards and i never got a single one.",F
what is this clown game,F
report jungle for existing,F
you're actually worthless,T
im dodging if i queue into you again,F
you claim vengeance by massacring everyone,F
that was pathetic,F
stop backseating me!,F
i am in the process of teaching my father the ways of Red Dead,F
you're a literal liability,F
Your aim is fucking atrocious,T
its painful watching you play,F
Me and Wizard101 before it died,F
"What the hell, you have your own edit bot?! So lucky",F
"oops, i'm dead",F
"Haha i shot him",F
there's a special place for you in hell,T
"it was actually easy mid, even with that slardar 24/7 supporting your ass",F
eat shit like your father,T
u must be a fat guy,T
"no, skinny as fuck",F
push and end im afk,F
didn't you just ult when i killed you?,F 
hope you die under truck with all of your family,T 
u have amnesia? why do you always miss,F
MAYBE YOU SHOULD CRY MORE,T 
rearm ward you imbecile,F
u suicide and kill for sure,F 
"wasted my time, next time get a brain first",T 
naive moron,T 
Moments later my arms and legs are cut off and I'm burning in bit of lava,F 
Stop being ungrateful you heartless brat,F
what is your problem? autism? or are you just retarded,T 
quit your whining,F 
"You maniac, you can not play those types of games with a mouse and keyboard.",F 
u cant kill?,F
u cant fcnk killonany one:DD,T
in this game i didnt use my ulti,F 
listen here if you dont want to die,F 
fu both tards,T 
*says fuck it and 3d prints a gun*,F 
Why is this so damn funny? I'm fucking crying over here.,F 
If he had thicker skin then the bullets would have just bounced right off. His fault for having such thin skin.,T
people with your toxic atittude really need to die,T 
As a kid I always just clicked blocks until I died.,F
oh how I hate fkn ranked and all the tryhard kids,F 
you cried like a bitch when you lost 2 towers in 10 mins,T 
queen i played with you yesterday,F 
low IQ dipshit,T 
why u dont unpause fucking trash,T 
"lina has no brain, no wonder shes 0lp",F
I am the guy thats gonna nuke you lol,F 
hope IS will send nuke to russia,T
we dont defend towers anyway you retarded fuck,T 
why is he rolling?,F 
peddle faster u dumbass,T 
