Laughing out loud, that was actually hilarious.,0.030741978
Oh my god, I can't believe that happened.,0.03592727
I love you, thanks for being here.,0.016838523
You did great, for real.,0.023553278
Let me know, if you need help.,0.022021262
I don't know what to eat tonight.,0.021196328
Just vibing today, how about you?,0.031331215
To be honest I kinda liked it.,0.022374803
Lowkey wanna take a nap.,0.15103401
I’m not going to lie, this is pretty fun.,0.044141594
Just chilling right now, what you doing?,0.09033044
Thank you for the help earlier!,0.008984734
Be right back, grabbing lunch.,0.050573748
Good game, that was a good match.,0.013822667
Shake my head, I forgot my keys again.,0.165053
Gotta go, talk to you later!,0.030506283
For real, you deserve all the good things coming your way.,0.033806015
I love you so much, thank you for always supporting me.,0.016712861
Laugh my ass off I can’t believe how good that turned out!,0.6491204
Laughing out loud that was so wholesome, I can’t stop smiling.,0.030506283
