this place has gone down hill .	F
no one showed up or even called .	F
however , the steakhouse still called the cops .	F
wife likes spice and they can do that too .	F
not that great tasted stale .	F
an unsatisfactory dish improperly reheated : fail .	T
this place is right next to my house .	F
on to the positives and new things .	F
just one of my personal pet peeves .	F
great addition to noda .	F
lots of food to chose from .	F
this place blows more than jenna <UNK> .	T
in fact table had empty plates for awhile .	F
no crab legs or anything with a hard shell .	F
great little spot tucked away in the foothills .	F
not one thing in the dish stood out .	T
a night worthy of a celebration if you will .	F
not quite fine dining but not diner food either .	F
they are always fairly prompt and adequately friendly .	F
my favorite grocers store !	F
the chicken was good not great .	F
been there multiple times in the last few weeks .	F
great for puppy training and starting fires .	F
the sweet shrimp was pretty nice as well .	F
then had the bone in filet .	F
the corn in a cup is delicious .	F
the food was served hot and was very attractive .	F
the italian beef is my favorite in town .	F
the bathroom was old , the shower sucks .	T
dishwasher has not been properly installed and leaks .	F
cold toppings is badass to say the least .	F
my wife and her friend split the chicken dish .	F
the fried rice was pretty darned good too .	F
the wife had a hard time eating it .	F
definitely the best burger on mill .	F
my wife and i have been here allot .	F
cooked tender - crisp .	F
overall great bar , service , and food .	F
the food is pretty authentic .	F
zoe ' s is ` ` ok ' ' .	F
had n't been back here in sometime .	F
that shows your food quality standards have fallen .	T
i will come back for next haircut .	F
most importantly good food .	F
table went out of business for a reason .	F
i got lazy and stuck to the prime rib .	F
the decorations were minimalist , simple and not overdone .	F
food highest quality , service exceptional .	F
she shrugged and walked away .	F
your horchata is delicious as is the watermelon lemonade .	F
decent food for the price .
it is upscale american .	F
the pork belly was very very tender as well .	F
worst of all with this meal were my drinks .	T
excellent food , friendly service .	F
great food and service !	F
food was pretty good .	F
reasonably priced with great toppings .	F
this place consistently makes awesome food .	F
cheese plate could <UNK> been bigger but very tasty .	F
managed to have some dessert as well .	F
my favorite dish was the lamb curry .	F
the desert and drink menu is top notch .	F
not your typical sweet and sour but spicy .	F
beer is a little pricy but great selection .	F
good food and very affordable .	F
love the pizza here and everything else .	F
do n't order the sourdough cheeseburger special .	F
well worth checking out .	F
also the rack of lamb is good to .	F
the service is friendly & the food is outstanding .	F
00 fitness @user ann rd is very good gym .	F
but ultimately folks come here for the orange juice .	F
interesting bagels and some interesting ethnic dishes .	F
the breakfasts there were sublime .	F
a very good family style italian restaurant .	F
they had far better appetizers and nigiri .	F
good real german food .	F
as a banquet venue , they were below expectations .	F
the food at wine five is outstanding !	F
both were out of this world .	F
this place is a joke .	T
they come out fresh every couple of minutes .	F
grab a book , learn something !	F
was somewhat suprised that the restaurant was not full .	F
i have partied around the fucking globe .	F
the pulled pork had good moist flavor and texture .	F
the soy sauce chicken had very little chicken meat .	F
the flavor was excellent .	F
the meat was very good .	F
meh , borderline but i enjoy it enough .	F
real plates instead of paper is nice touch too .	F
even better , its all you can eat .	F
however the food still came out late .	F
the menu is quite diverse .	F
same food with better prices can be found elsewhere .	F
hopefully , the same holds for your other delights .	F
i have been coming here for years .	F
food did come in a timely fashion .	F
good post bar food .	F
